uuid,title,slide_url,paper_url
30363ed2-5bdd-413d-94d5-04a7c46702e0,ControlVAE: Controllable Variational Autoencoder,icml.cc/media/icml-2020/Slides/6510.pdf,proceedings.mlr.press/v119/shao20b/shao20b.pdf
7deea9a8-2c75-45a8-b404-074c3e1cd80b,Self-Concordant Analysis of Frank-Wolfe Algorithms,icml.cc/media/icml-2020/Slides/6125.pdf,proceedings.mlr.press/v119/dvurechensky20a/dvurechensky20a.pdf
1902bb89-d380-4bfd-aa5a-4b01d35bae4e,Individual Fairness for k-Clustering,icml.cc/media/icml-2020/Slides/6504.pdf,proceedings.mlr.press/v119/mahabadi20a/mahabadi20a.pdf
5d9814d4-e011-4682-94a9-01545c80a573,Reverse-engineering deep ReLU networks,icml.cc/media/icml-2020/Slides/5765.pdf,proceedings.mlr.press/v119/rolnick20a/rolnick20a.pdf
64082d60-3b7d-41f8-a650-1bb2e35b046e,Nested Subspace Arrangement for Representation of Relational Data,icml.cc/media/icml-2020/Slides/6106.pdf,proceedings.mlr.press/v119/hata20a/hata20a.pdf
e66235ce-fe5c-44fb-a440-b68c5b8d84da,Private Reinforcement Learning with PAC and Regret Guarantees,icml.cc/media/icml-2020/Slides/6152.pdf,proceedings.mlr.press/v119/vietri20a/vietri20a.pdf
e22550d5-9ce9-46af-a175-7d686f9e6d07,What Can Learned Intrinsic Rewards Capture?,icml.cc/media/icml-2020/Slides/6150.pdf,proceedings.mlr.press/v119/zheng20b/zheng20b.pdf
4882ba5b-4534-41a4-a61c-4320489118dc,Laplacian Regularized Few-Shot Learning,icml.cc/media/icml-2020/Slides/6480.pdf,proceedings.mlr.press/v119/ziko20a/ziko20a.pdf
396c99e8-89b6-4b09-a020-b0fd5d3d4d96,Concentration bounds for CVaR estimation: The cases of light-tailed and heavy-tailed distributions,icml.cc/media/icml-2020/Slides/6104.pdf,proceedings.mlr.press/v119/l-a-20a/l-a-20a.pdf
90d6d47a-f16a-4326-81f4-b276f99e9ac4,A Simple Framework for Contrastive Learning of Visual Representations,icml.cc/media/icml-2020/Slides/6762.pdf,proceedings.mlr.press/v119/chen20j/chen20j.pdf
9b662dac-0ad5-4535-ae6a-bd06e68164b3,Distance Metric Learning with Joint Representation Diversification,icml.cc/media/icml-2020/Slides/6438.pdf,proceedings.mlr.press/v119/chu20a/chu20a.pdf
cb7b5404-a9d0-4c8f-965a-66b9f6847b5f,Learning with Multiple Complementary Labels,icml.cc/media/icml-2020/Slides/6084.pdf,proceedings.mlr.press/v119/feng20a/feng20a.pdf
22b8a62d-9e1c-4e47-ae5d-658f854bd440,LEEP: A New Measure to Evaluate Transferability of Learned Representations,icml.cc/media/icml-2020/Slides/6289.pdf,proceedings.mlr.press/v119/nguyen20b/nguyen20b.pdf
2ffb8145-ffa9-4362-b599-797ceddee095,Familywise Error Rate Control by Interactive Unmasking,icml.cc/media/icml-2020/Slides/6595.pdf,proceedings.mlr.press/v119/duan20d/duan20d.pdf
dbf1f0df-6400-4926-a6a9-7ca82d258d08,Efficient Domain Generalization via Common-Specific Low-Rank Decomposition,icml.cc/media/icml-2020/Slides/6528_Xl1QrB5.pdf,proceedings.mlr.press/v119/piratla20a/piratla20a.pdf
09d2979b-4066-47bd-a91d-27bb60146047,Mutual Transfer Learning for Massive Data,icml.cc/media/icml-2020/Slides/6661.pdf,proceedings.mlr.press/v119/cheng20d/cheng20d.pdf
442d4339-2420-4262-b0e6-1549e2315561,Adversarial Learning Guarantees for Linear Hypotheses and Neural Networks,icml.cc/media/icml-2020/Slides/6477.pdf,proceedings.mlr.press/v119/awasthi20a/awasthi20a.pdf
