uuid,title,slide_url,paper_url
e67e1ce1-1c2f-4735-b3f6-396ae72b804a,Learning Overparameterized Neural Networks via Stochastic Gradient Descent on Structured Data,nips.cc/media/nips-2018/Slides/12563.pdf,proceedings.neurips.cc/paper/2018/file/54fe976ba170c19ebae453679b362263-Paper.pdf
3b2b3826-13b6-47fb-90a8-59591861b6f7,Unsupervised Cross-Modal Alignment of Speech and Text Embedding Spaces,nips.cc/media/nips-2018/Slides/12568.pdf,proceedings.neurips.cc/paper/2018/file/1ea97de85eb634d580161c603422437f-Paper.pdf
f0c0a7b3-4275-42bb-a1ec-1000ebaf2715,Global Geometry of Multichannel Sparse Blind Deconvolution on the Sphere,nips.cc/media/nips-2018/Slides/12573.pdf,proceedings.neurips.cc/paper/2018/file/c3992e9a68c5ae12bd18488bc579b30d-Paper.pdf
3df31356-7760-4076-b54e-33b7721551d5,Size-Noise Tradeoffs in Generative Networks,nips.cc/media/nips-2018/Slides/12564.pdf,proceedings.neurips.cc/paper/2018/file/9bd5ee6fe55aaeb673025dbcb8f939c1-Paper.pdf
bea2ae99-54f9-4905-9036-89536cc054f6,Diffusion Maps for Textual Network Embedding,nips.cc/media/nips-2018/Slides/12569.pdf,proceedings.neurips.cc/paper/2018/file/211a7a84d3d5ce4d80347da11e0c85ed-Paper.pdf
149bcd4a-8053-4aad-b1c5-fbc6d9836b9e,Theoretical Linear Convergence of Unfolded ISTA and Its Practical Weights and Thresholds,nips.cc/media/nips-2018/Slides/12574.pdf,proceedings.neurips.cc/paper/2018/file/cf8c9be2a4508a24ae92c9d3d379131d-Paper.pdf
f41d9490-ee01-44a8-8649-9544e829d9ad,Neural Voice Cloning with a Few Samples,nips.cc/media/nips-2018/Slides/12577.pdf,proceedings.neurips.cc/paper/2018/file/4559912e7a94a9c32b09d894f2bc3c82-Paper.pdf
e1a8ffc9-e5a7-421c-b19c-32222ba07060,Evolved Policy Gradients,nips.cc/media/nips-2018/Slides/12592.pdf,proceedings.neurips.cc/paper/2018/file/7876acb66640bad41f1e1371ef30c180-Paper.pdf
2815f2ea-da6b-460b-810c-30411c5ab993,Differentially Private Testing of Identity and Closeness of Discrete Distributions,nips.cc/media/nips-2018/Slides/12607.pdf,proceedings.neurips.cc/paper/2018/file/7de32147a4f1055bed9e4faf3485a84d-Paper.pdf
87e83466-7199-4ca4-b366-40ab096193d4,Answerer in Questioner's Mind: Information Theoretic Approach to Goal-Oriented Visual Dialog,nips.cc/media/nips-2018/Slides/12578.pdf,proceedings.neurips.cc/paper/2018/file/0829424ffa0d3a2547b6c9622c77de03-Paper.pdf
b089b168-3fc9-4994-957a-07b2c1b159e0,Adapted Deep Embeddings: A Synthesis of Methods for k-Shot Inductive Transfer Learning,nips.cc/media/nips-2018/Slides/12593.pdf,proceedings.neurips.cc/paper/2018/file/d09bf41544a3365a46c9077ebb5e35c3-Paper.pdf
97bfc61b-1005-4a71-aeef-015b3754c8b2,Local Differential Privacy for Evolving Data,nips.cc/media/nips-2018/Slides/12608.pdf,proceedings.neurips.cc/paper/2018/file/a01610228fe998f515a72dd730294d87-Paper.pdf
7fc895ab-0d18-43b5-91b1-d6cab0df10fe,Neural-Symbolic VQA: Disentangling Reasoning from Vision and Language Understanding,nips.cc/media/nips-2018/Slides/12579.pdf,proceedings.neurips.cc/paper/2018/file/5e388103a391daabe3de1d76a6739ccd-Paper.pdf
e10e0203-fbbe-4752-a4ae-5cd93086a1ee,Bayesian Model-Agnostic Meta-Learning,nips.cc/media/nips-2018/Slides/12594.pdf,proceedings.neurips.cc/paper/2018/file/e1021d43911ca2c1845910d84f40aeae-Paper.pdf
4f4dde8c-f2fe-4410-a537-133d17e7d7e8,Differentially Private k-Means with Constant Multiplicative Error,nips.cc/media/nips-2018/Slides/12609.pdf,proceedings.neurips.cc/paper/2018/file/32b991e5d77ad140559ffb95522992d0-Paper.pdf
eef0a20f-40b2-4800-bf99-6d0d31bc9473,Learning to Optimize Tensor Programs,nips.cc/media/nips-2018/Slides/12580.pdf,proceedings.neurips.cc/paper/2018/file/8b5700012be65c9da25f49408d959ca0-Paper.pdf
7ac9f864-14ce-40b3-9220-b3ad14e02977,Probabilistic Neural Programmed Networks for Scene Generation,nips.cc/media/nips-2018/Slides/12595.pdf,proceedings.neurips.cc/paper/2018/file/06964dce9addb1c5cb5d6e3d9838f733-Paper.pdf
02074eeb-62f8-4812-b5dd-fa337d3540e0,A Spectral View of Adversarially Robust Features,nips.cc/media/nips-2018/Slides/12610.pdf,proceedings.neurips.cc/paper/2018/file/033cc385728c51d97360020ed57776f0-Paper.pdf
0ad254bd-15a8-4093-85d1-d08ab265a62f,A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks,nips.cc/media/nips-2018/Slides/12582.pdf,proceedings.neurips.cc/paper/2018/file/2e9f978b222a956ba6bdf427efbd9ab3-Paper.pdf
15899f43-d2e3-40a9-84d6-7eadbb33548e,Bias and Generalization in Deep Generative Models: An Empirical Study,nips.cc/media/nips-2018/Slides/12597.pdf,proceedings.neurips.cc/paper/2018/file/5317b6799188715d5e00a638a4278901-Paper.pdf
2ec9c2e8-7e5c-483d-b4e2-fc1bcfce6775,Bounded-Loss Private Prediction Markets,nips.cc/media/nips-2018/Slides/12612.pdf,proceedings.neurips.cc/paper/2018/file/b2dc449578a4744a1684d3b0ea933702-Paper.pdf
