,index,title,slide_url,paper_url,filename
0,0,List-decodable Linear Regression,nips.cc/media/neurips-2019/Slides/15789.pdf,proceedings.neurips.cc/paper/2019/file/7f5fc754c7af0a6370c9bf91314e79f4-Paper.pdf,0.pdf
1,1,Machine Learning Estimation of Heterogeneous Treatment Effects with Instruments,vsyrgkanis.com/camera_ready/neurips19/ml_instruments/instruments.pdf,proceedings.neurips.cc/paper/2019/file/3b2acfe2e38102074656ed938abf4ac3-Paper.pdf,1.pdf
2,2,On Exact Computation with an Infinitely Wide Neural Net,nips.cc/media/neurips-2019/Slides/15845.pdf,proceedings.neurips.cc/paper/2019/file/dbc4d84bfcfe2284ba11beffb853a8c4-Paper.pdf,2.pdf
3,3,On the Hardness of Robust Classification,www.cs.ox.ac.uk/files/11245/long-presentation-slides.pdf,proceedings.neurips.cc/paper/2019/file/8133415ea4647b6345849fb38311cf32-Paper.pdf,3.pdf
4,4,Point-Voxel CNN for Efficient 3D Deep Learning,nips.cc/media/neurips-2019/Slides/15734.pdf,proceedings.neurips.cc/paper/2019/file/5737034557ef5b8c02c0e46513b98f90-Paper.pdf,4.pdf
5,5,Identification of Conditional Causal Effects under Markov Equivalence,nips.cc/media/neurips-2019/Slides/15678.pdf,proceedings.neurips.cc/paper/2019/file/b2ead76dfdc4ae56a2abd1896ec46291-Paper.pdf,5.pdf
6,6,"Adversarial Examples Are Not Bugs, They Are Features",nips.cc/media/neurips-2019/Slides/15791.pdf,proceedings.neurips.cc/paper/2019/file/e2c420d928d4bf8ce0ff2ec19b371514-Paper.pdf,6.pdf
7,7,Neural Networks with Cheap Differential Operators,nips.cc/media/neurips-2019/Slides/15735.pdf,proceedings.neurips.cc/paper/2019/file/770f8e448d07586afbf77bb59f698587-Paper.pdf,7.pdf
8,8,Likelihood-Free Overcomplete ICA and Applications In Causal Discovery,nips.cc/media/neurips-2019/Slides/15679.pdf,proceedings.neurips.cc/paper/2019/file/20885c72ca35d75619d6a378edea9f76-Paper.pdf,8.pdf
9,9,Efficient and Accurate Estimation of Lipschitz Constants for Deep Neural Networks,www.seas.upenn.edu/~mahyarfa/files/Slides_NeurIPS_2019.pdf,proceedings.neurips.cc/paper/2019/file/95e1533eb1b20a97777749fb94fdb944-Paper.pdf,9.pdf
10,10,Perceiving the arrow of time in autoregressive motion,nips.cc/media/neurips-2019/Slides/15680.pdf,proceedings.neurips.cc/paper/2019/file/8d3369c4c086f236fabf61d614a32818-Paper.pdf,10.pdf
11,11,Quantum Entropy Scoring for Fast Robust Mean Estimation and Improved Outlier Detection,nips.cc/media/neurips-2019/Slides/15793.pdf,proceedings.neurips.cc/paper/2019/file/a4d92e2cd541fca87e4620aba658316d-Paper.pdf,11.pdf
12,12,Conditional Independence Testing using Generative Adversarial Networks,nips.cc/media/neurips-2019/Slides/15681.pdf,proceedings.neurips.cc/paper/2019/file/dc87c13749315c7217cdc4ac692e704c-Paper.pdf,12.pdf
13,13,Adversarial training for free!,www.cs.umd.edu/~ashafahi/free_training/Free_train_slide.pdf,proceedings.neurips.cc/paper/2019/file/7503cfacd12053d309b6bed5c89de212-Paper.pdf,13.pdf
14,14,Multi-marginal Wasserstein GAN,caojiezhang.com/slides/NeurIPS2019_MWGAN_slides.pdf,proceedings.neurips.cc/paper/2019/file/bdb106a0560c4e46ccc488ef010af787-Paper.pdf,14.pdf
15,15,Blocking Bandits,basusoumya.github.io/reports/blocking%20bandits_compressed.pdf,proceedings.neurips.cc/paper/2019/file/88fee0421317424e4469f33a48f50cb0-Paper.pdf,15.pdf
16,16,Phase Transitions and Cyclic Phenomena in Bandits with Switching Constraints,xyz.mit.edu/sites/default/files/documents/bwsc_neurips19.pdf,proceedings.neurips.cc/paper/2019/file/ae31ee951b4d4bfb5518e0fcdc064a83-Paper.pdf,16.pdf
17,17,Semi-Parametric Dynamic Contextual Pricing,virags.github.io/Pricing_Slides.pdf,proceedings.neurips.cc/paper/2019/file/363763e5c3dc3a68b399058c34aecf2c-Paper.pdf,17.pdf
18,18,Greedy Sampling for Approximate Clustering in the Presence of Outliers,www.cs.utah.edu/~bhaskara/files/neurips2019-pres1.pdf,proceedings.neurips.cc/paper/2019/file/73983c01982794632e0270cd0006d407-Paper.pdf,18.pdf
19,19,Near Neighbor: Who is the Fairest of Them All?,www.mit.edu/~mahabadi/slides/FairNN.pdf,proceedings.neurips.cc/paper/2019/file/742141ceda6b8f6786609d31c8ef129f-Paper.pdf,19.pdf
20,20,Learning-Based Low-Rank Approximations,people.iiis.tsinghua.edu.cn/~yuanyang/files/neurips19/learning_based_low_rank.pdf,proceedings.neurips.cc/paper/2019/file/1625abb8e458a79765c62009235e9d5b-Paper.pdf,20.pdf
21,21,Space and Time Efficient Kernel Density Estimation in High Dimensions,www.mit.edu/~talw/publications/fastkde_slides.pdf,proceedings.neurips.cc/paper/2019/file/a2ce8f1706e52936dfad516c23904e3e-Paper.pdf,21.pdf
22,22,Missing Not at Random in Matrix Completion: The Effectiveness of Estimating Missingness Probabilities Under a Low Nuclear Norm Assumption,www.andrew.cmu.edu/user/georgech/presentations/mnar_mc_neurips2019.pdf,proceedings.neurips.cc/paper/2019/file/d828725179d622a56f951e527a966ed7-Paper.pdf,22.pdf
23,23,Exact Rate-Distortion in Autoencoders via Echo Noise,www.isi.edu/sites/default/files/users/gregv/echo_slides.pdf,proceedings.neurips.cc/paper/2019/file/9bb6dee73b8b0ca97466ccb24fff3139-Paper.pdf,23.pdf
24,24,Communication-efficient Distributed SGD with Sketching,enayatullah.github.io/sketchedsgd/slides.pdf,proceedings.neurips.cc/paper/2019/file/75da5036f659fe64b53f3d9b39412967-Paper.pdf,24.pdf
25,25,Average-Case Averages: Private Algorithms for Smooth Sensitivity and Mean Estimation,www.thomas-steinke.net/BS19.pdf,proceedings.neurips.cc/paper/2019/file/3ef815416f775098fe977004015c6193-Paper.pdf,25.pdf
26,26,Partially Encrypted Deep Learning using Functional Encryption,www.drauo.de/static/slides/mlfe.pdf,proceedings.neurips.cc/paper/2019/file/9d28de8ff9bb6a3fa41fddfdc28f3bc1-Paper.pdf,26.pdf
27,27,Efficient and Accurate Estimation of Lipschitz Constants for Deep Neural Networks,www.seas.upenn.edu/~mahyarfa/files/Slides_NeurIPS_2019.pdf,proceedings.neurips.cc/paper/2019/file/95e1533eb1b20a97777749fb94fdb944-Paper.pdf,27.pdf
28,28,Deep Generalized Method of Moments for Instrumental Variable Analysis,raw.githubusercontent.com/CausalML/DeepGMM/master/slides.pdf,proceedings.neurips.cc/paper/2019/file/15d185eaa7c954e77f5343d941e25fbd-Paper.pdf,28.pdf
29,29,Machine Learning Estimation of Heterogeneous Treatment Effects with Instruments,vsyrgkanis.com/camera_ready/neurips19/ml_instruments/instruments.pdf,proceedings.neurips.cc/paper/2019/file/3b2acfe2e38102074656ed938abf4ac3-Paper.pdf,29.pdf
30,30,Regret Bounds for Learning State Representations in Reinforcement Learning,teopir.github.io/files/2019/neurips2019_regretrep.pdf,proceedings.neurips.cc/paper/2019/file/9b8b50fb590c590ffbf1295ce92258dc-Paper.pdf,30.pdf
31,31,Safe Exploration for Interactive Machine Learning,las.inf.ethz.ch/files/turchetta19goose-slides.pdf,proceedings.neurips.cc/paper/2019/file/4f398cb9d6bc79ae567298335b51ba8a-Paper.pdf,31.pdf
32,32,(Nearly) Efficient Algorithms for the Graph Matching Problem on Correlated Random Graphs,cnchou.github.io/docs/research/slides/slides-neurips19.pdf,proceedings.neurips.cc/paper/2019/file/aba22f748b1a6dff75bda4fd1ee9fe07-Paper.pdf,32.pdf
33,33,Universal Invariant and Equivariant Graph Neural Networks,nkeriven.github.io/files/19_10_gdr_isis.pdf,proceedings.neurips.cc/paper/2019/file/ea9268cb43f55d1d12380fb6ea5bf572-Paper.pdf,33.pdf
34,34,On the Hardness of Robust Classification,www.cs.ox.ac.uk/files/11245/long-presentation-slides.pdf,proceedings.neurips.cc/paper/2019/file/8133415ea4647b6345849fb38311cf32-Paper.pdf,34.pdf
35,35,Learning Hierarchical Priors in VAEs,nips.cc/media/neurips-2019/Slides/15852.pdf,proceedings.neurips.cc/paper/2019/file/7d12b66d3df6af8d429c1a357d8b9e1a-Paper.pdf,35.pdf
36,36,Reducing the variance in online optimization by transporting past gradients,seba1511.net/projects/igt/igt_neurips19_slides.pdf,proceedings.neurips.cc/paper/2019/file/1dba5eed8838571e1c80af145184e515-Paper.pdf,36.pdf
37,37,Uncertainty on Asynchronous Time Event Prediction,nips.cc/media/neurips-2019/Slides/15741.pdf,proceedings.neurips.cc/paper/2019/file/78efce208a5242729d222e7e6e3e565e-Paper.pdf,37.pdf
38,38,Learning to Control Self-Assembling Morphologies: A Study of Generalization via Modularity,nips.cc/media/neurips-2019/Slides/15685.pdf,proceedings.neurips.cc/paper/2019/file/c26820b8a4c1b3c2aa868d6d57e14a79-Paper.pdf,38.pdf
39,39,Implicit Generation and Modeling with Energy Based Models,nips.cc/media/neurips-2019/Slides/15853.pdf,proceedings.neurips.cc/paper/2019/file/378a063b8fdb1db941e34f4bde584c7d-Paper.pdf,39.pdf
40,40,A Structured Prediction Approach for Generalization in Cooperative Multi-Agent Reinforcement Learning,nips.cc/media/neurips-2019/Slides/15686.pdf,proceedings.neurips.cc/paper/2019/file/3c3c139bd8467c1587a41081ad78045e-Paper.pdf,40.pdf
41,41,Fast and Provable ADMM for Learning with Generative Priors,nips.cc/media/neurips-2019/Slides/15799.pdf,proceedings.neurips.cc/paper/2019/file/4559912e7a94a9c32b09d894f2bc3c82-Paper.pdf,41.pdf
42,42,Variational Bayesian Optimal Experimental Design,nips.cc/media/neurips-2019/Slides/15743.pdf,proceedings.neurips.cc/paper/2019/file/d55cbf210f175f4a37916eafe6c04f0d-Paper.pdf,42.pdf
43,43,Learning Compositional Neural Programs with Recursive Tree Search and Planning,nips.cc/media/neurips-2019/Slides/15687.pdf,proceedings.neurips.cc/paper/2019/file/95b431e51fc53692913da5263c214162-Paper.pdf,43.pdf
44,44,Complexity of Highly Parallel Non-Smooth Convex Optimization,www.aaronsidford.com/ref/BJLLS2019_NeurIPS_slides.pdf,proceedings.neurips.cc/paper/2019/file/3c0cd9bcd0686e8bc0a9047eae120cc5-Paper.pdf,44.pdf
45,45,Dual Variational Generation for Low Shot Heterogeneous Face Recognition,nips.cc/media/neurips-2019/Slides/15856.pdf,proceedings.neurips.cc/paper/2019/file/b5a1fc2085986034e448d2ccc5bb9703-Paper.pdf,45.pdf
46,46,SySCD: A System-Aware Parallel Coordinate Descent Algorithm,celestine.ai/neurips19/cdu-syscd-neurips19.pdf,proceedings.neurips.cc/paper/2019/file/8d3bba7425e7c98c50f52ca1b52d3735-Paper.pdf,46.pdf
47,47,Divide and Couple: Using Monte Carlo Variational Objectives for Posterior Approximation,nips.cc/media/neurips-2019/Slides/15746.pdf,proceedings.neurips.cc/paper/2019/file/82aa4b0af34c2313a562076992e50aa3-Paper.pdf,47.pdf
48,48,Adaptive Density Estimation for Generative Models,nips.cc/media/neurips-2019/Slides/15858.pdf,proceedings.neurips.cc/paper/2019/file/959ab9a0695c467e7caf75431a872e5c-Paper.pdf,48.pdf
49,49,Learning Positive Functions with Pseudo Mirror Descent,nips.cc/media/neurips-2019/Slides/15803.pdf,proceedings.neurips.cc/paper/2019/file/3e883840fee4384dd3d2afea5e822517-Paper.pdf,49.pdf
50,50,Robust exploration in linear quadratic reinforcement learning ,nips.cc/media/neurips-2019/Slides/15691.pdf,proceedings.neurips.cc/paper/2019/file/060fd70a06ead2e1079d27612b84aff4-Paper.pdf,50.pdf
51,51,Poisson-Minibatching for Gibbs Sampling with Convergence Rate Guarantees,nips.cc/media/neurips-2019/Slides/15748.pdf,proceedings.neurips.cc/paper/2019/file/361440528766bbaaaa1901845cf4152b-Paper.pdf,51.pdf
52,52,Tight Regret Bounds for Model-Based Reinforcement Learning with Greedy Policies,nips.cc/media/neurips-2019/Slides/15692.pdf,proceedings.neurips.cc/paper/2019/file/25caef3a545a1fff2ff4055484f0e758-Paper.pdf,52.pdf
53,53,Adversarial Fisher Vectors for Unsupervised Representation Learning,nips.cc/media/neurips-2019/Slides/15860.pdf,proceedings.neurips.cc/paper/2019/file/7e1cacfb27da22fb243ff2debf4443a0-Paper.pdf,53.pdf
54,54,Sinkhorn Barycenters with Free Support via Frank-Wolfe Algorithm,giulslu.github.io/Sinkhorn-Barycenters/slides/sinkhorn-barycenters-via-frank-wolfe.pdf,proceedings.neurips.cc/paper/2019/file/9f96f36b7aae3b1ff847c26ac94c604e-Paper.pdf,54.pdf
55,55,Stochastic Proximal Langevin Algorithm: Potential Splitting and Nonasymptotic Rates,nips.cc/media/neurips-2019/Slides/15749.pdf,proceedings.neurips.cc/paper/2019/file/6a8018b3a00b69c008601b8becae392b-Paper.pdf,55.pdf
56,56,Hindsight Credit Assignment,nips.cc/media/neurips-2019/Slides/15693.pdf,proceedings.neurips.cc/paper/2019/file/195f15384c2a79cedf293e4a847ce85c-Paper.pdf,56.pdf
57,57,Emergence of Object Segmentation in Perturbed Generative Models,nips.cc/media/neurips-2019/Slides/15861.pdf,proceedings.neurips.cc/paper/2019/file/af8d9c4e238c63fb074b44eb6aed80ae-Paper.pdf,57.pdf
58,58,Learning dynamic polynomial proofs,nips.cc/media/neurips-2019/Slides/15806.pdf,proceedings.neurips.cc/paper/2019/file/149815eb972b3c370dee3b89d645ae14-Paper.pdf,58.pdf
59,59,Weight Agnostic Neural Networks,weightagnostic.github.io/slides/wann_slides.pdf,proceedings.neurips.cc/paper/2019/file/e98741479a7b998f88b8f8c9f0b6b6f1-Paper.pdf,59.pdf
60,60,NAT: Neural Architecture Transformer for Accurate and Compact Architectures,guoyongcs.github.io/NAT-Materials/NAT_Slides.pdf,proceedings.neurips.cc/paper/2019/file/beed13602b9b0e6ecb5b568ff5058f07-Paper.pdf,60.pdf
61,61,Learning Multiple Markov Chains via Adaptive Allocation,researchers.lille.inria.fr/~mtalebim/nips2019_slides.pdf,proceedings.neurips.cc/paper/2019/file/83dd3f9f97ef6533766c39d5b2e5e565-Paper.pdf,61.pdf
62,62,Non-Asymptotic Pure Exploration by Solving Games,remydegenne.github.io/docs/exploration_with_games_talk_2019/talk.pdf,proceedings.neurips.cc/paper/2019/file/8d1de7457fa769ece8d93a13a59c8552-Paper.pdf,62.pdf
63,63,Weighted Linear Bandits for Non-Stationary Environments,www.yoanrussac.com/en/publication/conference-paper/NIPS_pres.pdf,proceedings.neurips.cc/paper/2019/file/263fc48aae39f219b4c71d9d4bb4aed2-Paper.pdf,63.pdf
64,64,Massively scalable Sinkhorn distances via the Nyström method,www.jonathannilesweed.com/files/ABNR19_neurips.pdf,proceedings.neurips.cc/paper/2019/file/f55cadb97eaff2ba1980e001b0bd9842-Paper.pdf,64.pdf
65,65,On the Global Convergence of (Fast) Incremental Expectation Maximization Methods,www1.se.cuhk.edu.hk/~htwai/pdf/fiempres.pdf,proceedings.neurips.cc/paper/2019/file/a14ac55a4f27472c5d894ec1c3c743d2-Paper.pdf,65.pdf
66,66,SySCD: A System-Aware Parallel Coordinate Descent Algorithm,celestine.ai/neurips19/cdu-syscd-neurips19.pdf,proceedings.neurips.cc/paper/2019/file/8d3bba7425e7c98c50f52ca1b52d3735-Paper.pdf,66.pdf
67,67,Adaptive Gradient-Based Meta-Learning Methods,www.cs.cmu.edu/~mkhodak/docs/ARUBA2019Slides.pdf,proceedings.neurips.cc/paper/2019/file/f4aa0dd960521e045ae2f20621fb4ee9-Paper.pdf,67.pdf
68,68,Learning to Propagate for Graph Meta-Learning,liulu112601.github.io/resources/GPN-NeurIPS-Slides-revised.pdf,proceedings.neurips.cc/paper/2019/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf,68.pdf
69,69,Multivariate Distributionally Robust Convex Regression under Absolute Error Loss,web.stanford.edu/~zqzhou/DRCR_Slides.pdf,proceedings.neurips.cc/paper/2019/file/fe1f9c70bdf347497e1a01b6c486bdb9-Paper.pdf,69.pdf
70,70,Localized Structured Prediction,cciliber.github.io/localized-structured-prediction/slides/localized-structured-prediction.pdf,proceedings.neurips.cc/paper/2019/file/0cbed40c0d920b94126eaf5e707be1f5-Paper.pdf,70.pdf
71,71,Online Markov Decoding: Lower Bounds and Near-Optimal Approximation Algorithms,www.mit.edu/~vgarg/OnlineMarkovSlides.pdf,proceedings.neurips.cc/paper/2019/file/3fd60983292458bf7dee75f12d5e9e05-Paper.pdf,71.pdf
72,72,"Learning and Generalization in Overparameterized Neural Networks, Going Beyond Two Layers",pages.cs.wisc.edu/~yliang/three-layer.pdf,proceedings.neurips.cc/paper/2019/file/62dad6e273d32235ae02b7d321578ee8-Paper.pdf,72.pdf
73,73,Reducing the variance in online optimization by transporting past gradients,seba1511.net/projects/igt/igt_neurips19_slides.pdf,proceedings.neurips.cc/paper/2019/file/1dba5eed8838571e1c80af145184e515-Paper.pdf,73.pdf
74,74,Blended Matching Pursuit,cyrillewcombettes.github.io/bmp_slides.pdf,proceedings.neurips.cc/paper/2019/file/fb2fcd534b0ff3bbed73cc51df620323-Paper.pdf,74.pdf
75,75,Complexity of Highly Parallel Non-Smooth Convex Optimization,www.aaronsidford.com/ref/BJLLS2019_NeurIPS_slides.pdf,proceedings.neurips.cc/paper/2019/file/3c0cd9bcd0686e8bc0a9047eae120cc5-Paper.pdf,75.pdf
76,76,Sinkhorn Barycenters with Free Support via Frank-Wolfe Algorithm,giulslu.github.io/Sinkhorn-Barycenters/slides/sinkhorn-barycenters-via-frank-wolfe.pdf,proceedings.neurips.cc/paper/2019/file/9f96f36b7aae3b1ff847c26ac94c604e-Paper.pdf,76.pdf
77,77,Policy Evaluation with Latent Confounders via Optimal Balance,raw.githubusercontent.com/CausalML/LatentConfounderBalancing/master/slides.pdf,proceedings.neurips.cc/paper/2019/file/7c4bf50b715509a963ce81b168ca674b-Paper.pdf,77.pdf
